,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
front-drive,200,470,20600,62617300,38901700,1.45996385982788,0.545932656850205
front-wheel,1600,4800,183100,62617300,38901700,1.8637836508441,0.898234400781086
fruitful,4400,23100,580700,62617300,38901700,3.26162138897717,1.70558932283869
frustrated,24200,28200,1292000,62617300,38901700,0.723949021402252,-0.466039984815871
frustrating,15900,30300,989400,62617300,38901700,1.18391288512738,0.243562928248526
full,363900,1361500,66065000,62617300,38901700,2.32439446791631,1.21685492614942
full-featured,600,5930,472539,62617300,38901700,6.14013169416972,2.61826959899742
full-frontal,500,1600,58000,62617300,38901700,1.9880358942337,0.991343805172568
full-length,17200,21700,1516200,62617300,38901700,0.783800488823971,-0.351441622197688
full-service,2500,35600,2534100,62617300,38901700,8.84675972933998,3.1451491412516
full-time,11400,71100,4296300,62617300,38901700,3.87470811622851,1.9540876355146
functional,24200,102300,4757500,62617300,38901700,2.62624059891668,1.39299909253066
funky,11200,35100,994000,62617300,38901700,1.94698827811392,0.961244198306887
fun-loving,900,9800,134300,62617300,38901700,6.76484436232301,2.75805674273283
funny,147800,283900,6534300,62617300,38901700,1.193342757047,0.255008479638171
furthermost,25,40,5431,62617300,38901700,0.994017947116851,-0.00865619482743232
fussy,1800,4800,111800,62617300,38901700,1.65669657852809,0.728309399338774
game,380300,1164300,25593400,62617300,38901700,1.90201008386167,0.927524894935943
gaudy,1000,1800,74200,62617300,38901700,1.11827019050646,0.16126880661488
gay,374200,476400,14515100,62617300,38901700,0.790937583522294,-0.33836424531674
geeky,1600,3600,125600,62617300,38901700,1.39783773813307,0.483196901502242
general,362500,1282100,64967800,62617300,38901700,2.19729381034227,1.13572779210215
generic,37100,72500,3719800,62617300,38901700,1.21405493877985,0.279833708341423
generous,16900,87600,2282400,62617300,38901700,3.22026524287856,1.68717952337892
genious,400,960,15800,62617300,38901700,1.49102692067528,0.576306305893724
gentle,20200,116100,2720300,62617300,38901700,3.57071422216171,1.8362126741737
genuine,21000,104100,3127100,62617300,38901700,3.07968060401382,1.62278073569322
g-funk,100,170,11500,62617300,38901700,1.05614406881165,0.0788066464229072
ghastly,2000,2300,131600,62617300,38901700,0.714450399490237,-0.48509423877042
giant,38200,89800,5025300,62617300,38901700,1.46045176130715,0.546414706765328
giddy,1400,3900,165500,62617300,38901700,1.73065624721237,0.791319196864574
gifted,6400,32200,979200,62617300,38901700,3.12572049776979,1.64418877817455
gigantic,4800,9900,833100,62617300,38901700,1.28135125995532,0.357666019418383
glad,58900,257800,4550500,62617300,38901700,2.71920444361974,1.44318462459112
global,111500,238300,18369500,62617300,38901700,1.32777173093019,0.409007141442534
gloomy,5000,7700,223200,62617300,38901700,0.956742274099969,-0.0637977490198934
glorious,7000,31000,1227600,62617300,38901700,2.75129967505557,1.4601132883892
golden,47800,191300,8859800,62617300,38901700,2.48634457745101,1.31402625042529
good,4136500,74073100,58087424,62617300,38901700,11.1250439378976,3.47573912884161
good-intentioned,100,3200,3200,62617300,38901700,19.880358942337,4.31327190005993
gorgeous,34900,77500,2630800,62617300,38901700,1.37959152760666,0.464241174011878
gothic,9000,20400,1566400,62617300,38901700,1.40819209174887,0.493844145701751
grand,53900,280500,14338500,62617300,38901700,3.23309408819894,1.69291549280358
grandiose,1200,2200,192300,62617300,38901700,1.13897889773806,0.187741017976071
graphic,22000,101800,9029300,62617300,38901700,2.87474508569589,1.52343403261097
grateful,13300,81900,2104300,62617300,38901700,3.82566117804841,1.93570910619975
gratuitous,3300,4500,150200,62617300,38901700,0.847174386747316,-0.239269122968849
grave,24500,31000,3284000,62617300,38901700,0.786085621444449,-0.347241633668403
gray,37100,107500,5702400,62617300,38901700,1.80015042646667,0.848117467915949
greasy,5700,12600,388100,62617300,38901700,1.37331426904302,0.457661809395105
great,976000,3327100,55191400,62617300,38901700,2.11782601937274,1.08258407596962
greedy,12200,16800,622400,62617300,38901700,0.855507249567782,-0.225148014724196
green,137700,560800,21020500,62617300,38901700,2.5301618770113,1.33922968993559
greenish,1100,4400,159600,62617300,38901700,2.48504486779213,1.31327190005993
grey,21900,80250,3463600,62617300,38901700,2.27653939087121,1.18684242246842
grilled,1800,25900,600300,62617300,38901700,8.93925862164113,3.16015518630417
grimy,900,1100,71000,62617300,38901700,0.759319265158706,-0.397221482745085
grisly,1000,1000,76400,62617300,38901700,0.621261216948032,-0.68672809994007
gritty,3300,8800,327500,62617300,38901700,1.65669657852809,0.728309399338774
gross,77100,52400,5627700,62617300,38901700,0.422232007368053,-1.24389214831765
ground-up,1100,4500,314900,62617300,38901700,2.54152316024195,1.34569337775231
gruff,1100,3900,86400,62617300,38901700,2.20265340554302,1.13924250028488
guilty,55200,50200,2131600,62617300,38901700,0.564987555992594,-0.823709002767467
half-bad,59300,2500,59300,62617300,38901700,0.026191450967455,-5.25476020471135
half-done,300,860,19000,62617300,38901700,1.78094882191769,0.832646059153509
half-naked,900,1200,60200,62617300,38901700,0.828348289264043,-0.271690600661226
hand-polished,5,420,21000,62617300,38901700,52.1859422236347,5.70558932283869
handsome,10600,53100,1178200,62617300,38901700,3.11216703961703,1.63791949630088
hand-written,600,2400,283400,62617300,38901700,2.48504486779213,1.31327190005993
handy,19300,77600,3408400,62617300,38901700,2.49792074793613,1.32072770497898
haphazard,1500,1800,91900,62617300,38901700,0.745513460337638,-0.423693694106276
hap-hazard,25,40,2000,62617300,38901700,0.994017947116851,-0.00865619482743232
happy,179100,785000,14606400,62617300,38901700,2.72300421722058,1.44519921674032
hard,406200,1354000,26128000,62617300,38901700,2.07087072316011,1.05023749422614
hard-anodized,25,1300,64000,62617300,38901700,32.3055832812977,5.01371161820102
hard-anodizing,10,60,2300,62617300,38901700,3.72756730168819,1.89823440078109
hard-bound,35,730,18600,62617300,38901700,12.9577339534875,3.69574153688234
hard-core,25800,18150,1216000,62617300,38901700,0.437050042155302,-1.19412961736757
hard-hitting,2200,4900,145000,62617300,38901700,1.38371816502062,0.468550125537841
hard-to-reach,722,2400,104000,62617300,38901700,2.06513423916243,1.04623556366864
hardy,8500,32400,1595000,62617300,38901700,2.36810157989603,1.24373096680685
harsh,26800,40100,1526000,62617300,38901700,0.929573686552839,-0.105358863942922
haunting,3900,10000,464000,62617300,38901700,1.59297747935393,0.671725870972406
headache-inducing,100,90,2700,62617300,38901700,0.559135095253229,-0.83873119338512
head-bobbing,100,310,12438,62617300,38901700,1.9259097725389,0.945540115559443
healthy,78400,418800,7622000,62617300,38901700,3.31867599053362,1.73060778287553
heartfelt,2200,11400,362000,62617300,38901700,3.2192626696398,1.68673029558737
heart-to-heart,400,1700,64000,62617300,38901700,2.64036017202914,1.40073474131027
heavily-weighted,200,390,24000,62617300,38901700,1.21145937304866,0.276746024034816
heavy,110000,312000,10955000,62617300,38901700,1.76212272443442,0.817314405397519
heavy-duty,2500,42000,1468000,62617300,38901700,10.4371884447269,3.38366122795133
hefty,11600,17000,363000,62617300,38901700,0.910469024837633,-0.13531815892994
helpful,52900,323500,7504000,62617300,38901700,3.79920611876537,1.92569798482577
hesitant,4100,7200,338000,62617300,38901700,1.09099530781118,0.125644896884159
hideous,5100,5300,278000,62617300,38901700,0.645624401926386,-0.631232987348366
high,772700,2475000,69620000,62617300,38901700,1.98993336604941,0.992720122186223
high-ceilinged,30,190,10000,62617300,38901700,3.9346543740042,1.97623691278236
high-dollar,300,810,28000,62617300,38901700,1.67740528575969,0.746231307336036
high-end,4200,29100,1375000,62617300,38901700,4.30445271742565,2.10582982018945
high-performance,3600,61300,2838000,62617300,38901700,10.5786979441429,3.4030901623084
high-profile,4200,12600,680980,62617300,38901700,1.8637836508441,0.898234400781086
high-quality,31100,285900,8218400,62617300,38901700,5.71120842203995,2.51379603456043
high-sounding,100,210,13400,62617300,38901700,1.30464855559087,0.383661227951328
high-speed,9300,54700,3530400,62617300,38901700,3.6540847921567,1.86951011174446
high-up,1100,3800,168500,62617300,38901700,2.1461751130932,1.10176779486622
hilarious,14000,29200,788750,62617300,38901700,1.29577339534875,0.373813441994981
hip-hop,14300,29400,2157800,62617300,38901700,1.27727830617288,0.353072908117905
historical,54900,185800,9842900,62617300,38901700,2.1025561768478,1.07214434743738
hit-making,100,90,4620,62617300,38901700,0.559135095253229,-0.83873119338512
ho-hum,1000,2800,56000,62617300,38901700,1.73953140745449,0.798698727230172
holy,55500,185000,4694000,62617300,38901700,2.07087072316011,1.05023749422614
home-cooked,300,11300,99760,62617300,38901700,23.4008391717092,4.54848836175396
homeless,52000,26000,1157200,62617300,38901700,0.310630608474016,-1.68672809994007
home-made,4500,14800,587960,62617300,38901700,2.04325911351797,1.03087216935921
honest,61800,261400,3336000,62617300,38901700,2.62779420890316,1.39385229795099
honorable,6200,34300,827800,62617300,38901700,3.43697737763185,1.78114035584587
hooked,13800,38200,1837100,62617300,38901700,1.71972307879818,0.78217627131751
hopeful,6400,28500,721400,62617300,38901700,2.7665538567217,1.46809000911203
hopped-up,400,990,63860,62617300,38901700,1.53762151194638,0.620700425252177
horrendous,4700,4400,202500,62617300,38901700,0.581606245653477,-0.78188533298041
horrible,60700,60600,1634000,62617300,38901700,0.620237722356684,-0.689106822722801
horrific,5400,5240,352600,62617300,38901700,0.602853477186609,-0.730120695453451
horror,38500,56500,4532000,62617300,38901700,0.911721006689969,-0.133335678219784
hostile,19700,18100,1114200,62617300,38901700,0.570803453134994,-0.808934032313241
hot,372400,591500,27034300,62617300,38901700,0.986777684814073,-0.019203004271713
hourly,12400,13600,1922750,62617300,38901700,0.681383270201067,-0.553461569076606
huge,169800,401500,16371500,62617300,38901700,1.46900105185297,0.554835428911568
humanistic,1000,3900,175700,62617300,38901700,2.42291874609732,1.27674602403482
humble,24100,45600,1370900,62617300,38901700,1.17549840219213,0.23327257799471
humongous,700,1500,79000,62617300,38901700,1.33127403631721,0.412807573610845
humorous,9000,30100,957000,62617300,38901700,2.07777362557064,1.05503848048996
hungry,67900,107900,2771400,62617300,38901700,0.987247206313588,-0.0185167146967848
hushed,1000,1800,127000,62617300,38901700,1.11827019050646,0.16126880661488
hydraulic,4500,25000,1364500,62617300,38901700,3.45145120526684,1.78720308839234
hypnotic,2200,6800,306700,62617300,38901700,1.92026194329392,0.941303122672972
ideal,39400,242200,8923500,62617300,38901700,3.81902199859932,1.93320323029788
identical,19500,37500,3297000,62617300,38901700,1.19473310951545,0.256688371693563
idiotic,3300,3600,139000,62617300,38901700,0.677739509397853,-0.561197217856211
idle,16000,33500,1695500,62617300,38901700,1.30076567298494,0.379361090517703
ignorant,33200,20600,732400,62617300,38901700,0.385481357503899,-1.37526700410378
ill,95300,150100,4943600,62617300,38901700,0.978502714206711,-0.0313522422293234
ill-advised,1700,1100,71900,62617300,38901700,0.401992552142844,-1.31475932255311
illegal,70300,61600,5558200,62617300,38901700,0.544376827368404,-0.877322438317704
ill-prepared,900,570,50700,62617300,38901700,0.39346543740042,-1.345691182105
imaginative,3100,20100,646350,62617300,38901700,4.02817756795337,2.01012728085198
imagineable,50,100,4260,62617300,38901700,1.24252243389606,0.31327190005993
immaculate,1700,9800,371800,62617300,38901700,3.58138819181807,1.8405189029248
immediate,49300,138500,8473600,62617300,38901700,1.74532816525968,0.803498324618569
immense,7400,17200,1179500,62617300,38901700,1.44401255831164,0.530083289133078
imminent,4300,7900,686800,62617300,38901700,1.14138688695104,0.190787893534935
impatient,6200,9800,445200,62617300,38901700,0.981993536466244,-0.026214566211737
impeccable,1300,16600,314400,62617300,38901700,7.93302784718256,2.98787161326576
impenetrable,900,1800,132900,62617300,38901700,1.24252243389606,0.31327190005993
imperfect,8700,12700,443900,62617300,38901700,0.906898558073564,-0.140986909016632
important,318200,1444300,45171500,62617300,38901700,2.81988552997499,1.49563659925907
impossible,93200,136200,6451800,62617300,38901700,0.907894611033497,-0.139403256582279
imprecise,1800,2100,110900,62617300,38901700,0.724804753106037,-0.464335678603622
impressive,17900,124100,3203900,62617300,38901700,4.30717972196932,2.10674352292603
inaccurate,21400,36900,925960,62617300,38901700,1.07124013576553,0.0992819197191791
inadequate,90900,38800,1695200,62617300,38901700,0.265180805473967,-1.91495174194705
inane,2200,2500,103700,62617300,38901700,0.705978655622764,-0.502303528802643
inappropriate,49100,35200,1844500,62617300,38901700,0.445384823555412,-1.16687569561747
inaudible,1500,4300,87470,62617300,38901700,1.78094882191769,0.832646059153509
in-between,21100,46000,1838000,62617300,38901700,1.35440834026585,0.43766276229712
incapable,10000,11300,600000,62617300,38901700,0.702025175151276,-0.510405327299607
incoming,35200,29100,2209000,62617300,38901700,0.51359947196556,-0.961284375669084
incompatible,10000,9600,824000,62617300,38901700,0.596410768270111,-0.745621788993639
incompetent,9600,7100,309000,62617300,38901700,0.459474441701149,-1.12194348115654
inconvenient,4400,4500,529900,62617300,38901700,0.635380790060487,-0.654306622247693
incorrect,75100,203700,2795000,62617300,38901700,1.68509866700818,0.752833067511546
incredible,30700,115350,4871000,62617300,38901700,2.33428278094318,1.22297934337273
independent,97500,254200,15546000,62617300,38901700,1.61973950100707,0.695761806427916
indifferent,28300,31400,378500,62617300,38901700,0.689314565800997,-0.536765593880325
indigenous,18600,19800,1287000,62617300,38901700,0.661342585783389,-0.596530290968492
individual,154700,515250,27957000,62617300,38901700,2.06919742748852,1.04907130303751
indoor,19700,77980,3570000,62617300,38901700,2.45918526383795,1.29818042511383
indulgent,2800,4700,161600,62617300,38901700,1.04283132844848,0.0605058296799634
industrial,53900,188300,14355000,62617300,38901700,2.1703800955717,1.11794772192165
inefficient,16200,9100,699000,62617300,38901700,0.348980066310314,-1.518783462626
inept,5000,3900,141000,62617300,38901700,0.484583749219465,-1.04518207085255
inescapable,1800,2090,133500,62617300,38901700,0.72135330190077,-0.471222064188862
inevitable,23600,31800,1706000,62617300,38901700,0.837123165209636,-0.256488194017556
inexcusable,2000,1100,69600,62617300,38901700,0.341693669321418,-1.54922457619014
inexhaustible,500,35600,117000,62617300,38901700,44.2337986466999,5.46707723613897
inexpensive,10900,88700,2054000,62617300,38901700,5.05558439846701,2.33787786958407
inexplicable,1900,2440,151000,62617300,38901700,0.79783019439642,-0.325846370708131
infamous,8700,13900,809000,62617300,38901700,0.992589760411223,-0.0107305230652908
infectious,12400,23150,1280500,62617300,38901700,1.15985461067314,0.213943972933291
inflexible,3100,2600,179000,62617300,38901700,0.52105779485964,-0.940484692185853
inherent,34800,34900,1793000,62617300,38901700,0.623046450330067,-0.682588369579146
in-house,5500,31500,2554000,62617300,38901700,3.55813242433873,1.83112020492255
initial,85300,222000,11312000,62617300,38901700,1.61688147904412,0.693213929979108
inner,53200,109300,5175000,62617300,38901700,1.27638817692519,0.352067150230645
innocent,75500,58950,2928000,62617300,38901700,0.485077466742867,-1.04371293117275
innocuous,1700,2700,158000,62617300,38901700,0.986708991623345,-0.0193034390269409
innovative,16500,136800,6735000,62617300,38901700,5.15082027142368,2.36480220070001
innumerable,2100,4500,216900,62617300,38901700,1.33127403631721,0.412807573610845
inoperative,700,1000,81000,62617300,38901700,0.887516024211474,-0.172154927110312
inopportune,900,440,27000,62617300,38901700,0.303727706063482,-1.71914957763245
inquiring,1600,4300,310000,62617300,38901700,1.66963952054784,0.739536654762028
in-room,1300,11400,1694000,62617300,38901700,5.44798297939043,2.44572219608358
insane,22300,29300,1337000,62617300,38901700,0.816275948725441,-0.292871145438127
insignificant,12600,13300,559000,62617300,38901700,0.6557757290007,-0.608725587938797
instinctive,1800,4250,139500,62617300,38901700,1.46686676223841,0.55273783475532
instructional,5400,44900,2414400,62617300,38901700,5.16567197054938,2.36895603263761
instrumental,10200,44100,2238800,62617300,38901700,2.68604114386355,1.42548140364596
insulting,8400,6990,346000,62617300,38901700,0.516978084103184,-0.951824972230756
intelligent,29700,104400,4029000,62617300,38901700,2.18382730805975,1.12685877582905
intense,27800,72700,3415900,62617300,38901700,1.62466512489647,0.700142381256017
intensive,16300,45400,3390000,62617300,38901700,1.73038400303317,0.791092233119768
interesting,117700,522500,13105000,62617300,38901700,2.75793530888145,1.46358861687709
interior,26500,159500,6451800,62617300,38901700,3.73928921144193,1.9027640592616
intermittent,8000,11500,575800,62617300,38901700,0.893062999362796,-0.163166143883057
internal,88800,240600,12557000,62617300,38901700,1.68328208105514,0.751276960885901
international,187400,659900,56178000,62617300,38901700,2.18767490429032,1.12939836481468
intoxicated,2300,3550,255100,62617300,38901700,0.958903182680658,-0.0605429364924008
intriguing,4700,18200,959500,62617300,38901700,2.40573492520302,1.26647768858099
intrinsic,7500,25400,694000,62617300,38901700,2.10400465473067,1.07313789633622
introspective,1000,3500,130990,62617300,38901700,2.17441425931811,1.12062682211753
intuitive,7000,31800,1299500,62617300,38901700,2.82230095699249,1.49687183839932
in-tune,1500,10300,230750,62617300,38901700,4.26599368970982,2.09288183163463
inventive,2000,9400,300900,62617300,38901700,2.91992771965575,1.54593265685021
investigative,3900,17000,1048300,62617300,38901700,2.70806171490168,1.43726061733538
inviting,5400,28000,1328400,62617300,38901700,3.22135445824905,1.68766741484143
in-your-face,4200,6800,285500,62617300,38901700,1.00585149410634,0.00841731853150919
ironic,8100,12900,571700,62617300,38901700,0.989416012176495,-0.0153508474014405
irregular,12200,17600,1076100,62617300,38901700,0.89624569002339,-0.158033818865659
irrelevant,17500,22400,1172000,62617300,38901700,0.795214357693481,-0.330584289714795
irritating,7700,11900,432600,62617300,38901700,0.960130971646958,-0.0586968773270278
isolating,2300,4500,252600,62617300,38901700,1.21551107663745,0.281563040332592
jaded,3000,5200,166300,62617300,38901700,1.07685277604326,0.106821022592504
jam-packed,500,4300,128500,62617300,38901700,5.34284646575307,2.41760855987467
japanese-made,100,400,9500,62617300,38901700,2.48504486779213,1.31327190005993
jaw-dropping,300,1150,44900,62617300,38901700,2.38150133163412,1.25187135539579
jazzy,1500,8800,229200,62617300,38901700,3.64473247276179,1.86581292308871
jealous,16400,27750,818800,62617300,38901700,1.0512194372139,0.0720638566793146
joint,39000,130200,8751700,62617300,38901700,2.07405667811881,1.05245531947595
jubilant,500,1300,76750,62617300,38901700,1.61527916406488,0.69178352331366
jumperless,10,180,9800,62617300,38901700,11.1827019050646,3.48319690150224
junior,24800,131990,6360500,62617300,38901700,3.30646242036172,1.72528850469984
juvenile,12300,26000,1489500,62617300,38901700,1.31323509273568,0.393125207749145
keen,11300,55800,1742700,62617300,38901700,3.06782087661064,1.61721424947393
keyless,400,2500,155000,62617300,38901700,3.8828826059252,1.95712808983465
king-size,900,8400,355000,62617300,38901700,5.7984380248483,2.53566432139638
king-sized,100,1250,51300,62617300,38901700,7.7657652118504,2.95712808983465
knob-like,15,30,2000,62617300,38901700,1.24252243389606,0.31327190005993
knowledgeable,5600,62100,1571000,62617300,38901700,6.88934313794157,2.78436643622281
laborious,1200,2500,123500,62617300,38901700,1.29429420197507,0.372165589113499
ladylike,200,680,17050,62617300,38901700,2.11228813762331,1.07880664642291
laid-back,2100,18400,323700,62617300,38901700,5.44343161516371,2.44451643333818
lake-view,120,2600,124000,62617300,38901700,13.4606597005407,3.75067721236723
lame,22400,30200,758100,62617300,38901700,0.837593247849579,-0.255678282672595
large,369200,1258100,44363000,62617300,38901700,2.11703341560758,1.08204404126373
last,720000,1857700,114577700,62617300,38901700,1.60294022600605,0.680720628079802
last-minute,13800,35700,2506700,62617300,38901700,1.6071757568873,0.684527707310861
late,178000,409000,17644200,62617300,38901700,1.42750470635812,0.513495502035281
late-night,4400,13100,609700,62617300,38901700,1.84966407773164,0.887263282960083
latent,4000,7700,429800,62617300,38901700,1.19592784262496,0.258130345867469
lateral,20600,21850,1215000,62617300,38901700,0.658959106325946,-0.60173915762269
laugh-out-loud,1100,2900,68500,62617300,38901700,1.63787048104481,0.711821276550205
lavish,2200,6400,307700,62617300,38901700,1.80730535839427,0.853840281422633
lazy,29400,50900,1440600,62617300,38901700,1.07558489600867,0.105121401299261
lean,20800,52450,2098700,62617300,38901700,1.56659378985213,0.647631144496105
leather-wrapped,20,450,29000,62617300,38901700,13.9783773813307,3.80512499638961
legal,159200,326300,30986000,62617300,38901700,1.27335135106874,0.348630551608145
legendary,7700,25600,1702900,62617300,38901700,2.06549183816489,1.04648535936503
legible,1900,11800,394300,62617300,38901700,3.85835913683515,1.94798743597819
legitimate,22500,40250,2017000,62617300,38901700,1.11136728809592,0.152335681844872
leisurely,1000,12000,463600,62617300,38901700,7.45513460337638,2.89823440078109
lengthy,8100,23800,1664000,62617300,38901700,1.8254341930078,0.868239660483249
less-expensive,2500,15300,585800,62617300,38901700,3.80211864772196,1.92680355297786
less-formal,200,1400,96500,62617300,38901700,4.34882851863622,2.12062682211753
less-than-desireable,20,20,17700,62617300,38901700,0.621261216948032,-0.68672809994007
less-than-reliable,30,50,2500,62617300,38901700,1.03543536158005,0.050237494226136
lethal,9600,11500,781000,62617300,38901700,0.744219166135663,-0.426200549716851
lifeless,2900,3800,226400,62617300,38901700,0.814066422207766,-0.296781581624057
lighter-colored,50,240,12000,62617300,38901700,2.98205384135055,1.57630630589372
lightning-fast,300,2700,85200,62617300,38901700,5.59135095253229,2.48319690150224
likeable,1600,6700,82000,62617300,38901700,2.60153134596988,1.3793610905177
likely,302200,397400,14498800,62617300,38901700,0.81697289085092,-0.291639887855229
lint-free,35,740,29000,62617300,38901700,13.1352371583298,3.71537034363128
little,867100,2141400,35438900,62617300,38901700,1.53427375155405,0.617555917504432
lively,5200,60500,1379800,62617300,38901700,7.22813531256845,2.85362351408079
liveried,20,110,9700,62617300,38901700,3.41693669321418,1.77270351869723
living,256500,621200,23011960,62617300,38901700,1.50459051839422,0.589370903952815
local,256700,1084400,49626400,62617300,38901700,2.62444746263516,1.39201371732222
locking,22600,46400,1604200,62617300,38901700,1.27550975514994,0.351073932772314
lo-fi,1300,3060,123000,62617300,38901700,1.46235332604691,0.548291929724127
lofty,2200,7300,313700,62617300,38901700,2.06145767441847,1.04366484030265
logical,24800,71400,2829300,62617300,38901700,1.7886310842778,0.838855853702155
lone,9600,19500,1383300,62617300,38901700,1.26193684692569,0.335639713088385
lonely,31700,58050,2042500,62617300,38901700,1.13767235469506,0.186085126786089
long,737900,2131600,61555200,62617300,38901700,1.79466107879987,0.8437114172507
long-distance,9400,36900,2486900,62617300,38901700,2.43878073461515,1.28616005444269
longish,400,1700,41000,62617300,38901700,2.64036017202914,1.40073474131027
long-running,1000,3000,173800,62617300,38901700,1.8637836508441,0.898234400781086
long-standing,4000,12500,677500,62617300,38901700,1.9414413029626,0.957128089834655
long-term,111100,262700,8542200,62617300,38901700,1.4689947947097,0.55482928380447
look-alike,1400,2700,131000,62617300,38901700,1.19814663268549,0.260804480165794
loopy,700,1950,90500,62617300,38901700,1.73065624721237,0.791319196864574
loose,56600,114700,4336000,62617300,38901700,1.25898695377985,0.332263333243873
lopsided,1600,2050,94000,62617300,38901700,0.795990934214666,-0.329176095321986
loud,54000,116800,3446800,62617300,38901700,1.34376500258389,0.426280861889116
lousy,19200,35200,377500,62617300,38901700,1.13897889773806,0.187741017976071
lovable,2200,8000,199000,62617300,38901700,2.25913169799284,1.17576837631
love-hate,2300,2100,87900,62617300,38901700,0.567238502430812,-0.817972633218323
lovely,34200,210150,3818300,62617300,38901700,3.81748668835172,1.93262312632601
loving,55300,192700,3843300,62617300,38901700,2.1648650362728,1.11427708612094
low,653400,1253960,35477500,62617300,38901700,1.19228147475383,0.253724868596727
low-budget,3000,6800,164700,62617300,38901700,1.40819209174887,0.493844145701751
low-end,3200,14200,367980,62617300,38901700,2.75684665020689,1.46301901956461
lower-priced,400,1600,51200,62617300,38901700,2.48504486779213,1.31327190005993
low-flying,200,390,33500,62617300,38901700,1.21145937304866,0.276746024034816
low-grade,2800,3200,154600,62617300,38901700,0.710012819369179,-0.494083021997674
low-key,1000,7600,187800,62617300,38901700,4.72158524880504,2.23927131861615
lowly,7000,6500,249700,62617300,38901700,0.576885415737458,-0.793643303856582
low-profile,1300,10600,422900,62617300,38901700,5.06566838434549,2.34075263648204
low-rent,600,1340,31750,62617300,38901700,1.38748338451727,0.472470494909184
low-speed,1700,6000,228200,62617300,38901700,2.19268664805188,1.13269965441811
lucious,800,840,35800,62617300,38901700,0.652324277795434,-0.616338772048672
lucky,49100,214700,4636000,62617300,38901700,2.71659436412917,1.44179916160401
lumbar,3800,8600,282400,62617300,38901700,1.40601222782976,0.491609141318442
lunar,3400,10600,623400,62617300,38901700,1.93687320577916,0.95372951337279
luscious,3500,7800,372400,62617300,38901700,1.3845249977699,0.469391101977212
lush,2600,20200,919600,62617300,38901700,4.8267217624424,2.27104366467063
luxurious,2400,34900,1261900,62617300,38901700,9.03417352978596,3.17539262554843
lyrical,2300,8400,342740,62617300,38901700,2.26895400972325,1.18202736678168
mad,86300,92100,3614000,62617300,38901700,0.663014577994365,-0.592887503027689
magical,11000,34400,1627000,62617300,38901700,1.94285326027385,0.958176941237368
magnetic,18600,52100,2704700,62617300,38901700,1.74019943026841,0.799252651230407
magnificent,8700,42900,2328500,62617300,38901700,3.06346048357133,1.61516224171075
main,303600,791750,71008000,62617300,38901700,1.62016985678065,0.696145071560016
major,234600,612300,33306000,62617300,38901700,1.62147588720068,0.697307569785297
male,142900,284950,13732000,62617300,38901700,1.23882703827391,0.308974776305705
manageable,2500,11300,523400,62617300,38901700,2.8081007006051,1.48959467270039
manned,1000,3600,368900,62617300,38901700,2.23654038101291,1.16126880661488
marginal,29200,39800,926000,62617300,38901700,0.846787549127797,-0.239928038276438
marvelous,3500,24400,718600,62617300,38901700,4.33107819815199,2.11472622067785
massive,55000,108700,6071000,62617300,38901700,1.22783807785911,0.296120316675217
masterful,1900,5050,237800,62617300,38901700,1.6512469187303,0.723555869368139
materialistic,2100,3500,120400,62617300,38901700,1.03543536158005,0.050237494226136
maternal,11200,13700,720900,62617300,38901700,0.759935595731075,-0.396050939037147
mature,271900,265000,10050600,62617300,38901700,0.60549548544034,-0.723811891626906
maximum,56900,203700,14866400,62617300,38901700,2.22409331972433,1.15321732271924
meaningful,15600,60300,2463400,62617300,38901700,2.40141355012605,1.26388387309777
meaningless,9000,14200,604500,62617300,38901700,0.980212142295784,-0.0288340767650627
mean-spirited,2800,1700,56200,62617300,38901700,0.377194310289877,-1.40662018074733
meaty,1200,8300,134900,62617300,38901700,4.29705675055722,2.1033488306857
mechanical,28000,134300,5682000,62617300,38901700,2.97983505129002,1.57523247254241
medical,165100,449200,23938800,62617300,38901700,1.69031216628138,0.757289707547273
mediocre,27200,47500,419000,62617300,38901700,1.08492308106734,0.117592762027901
medium-gray,100,460,13500,62617300,38901700,2.85780159796095,1.51490576122958
medium-high,600,1900,188700,62617300,38901700,1.9673271870021,0.976236912782359
medium-low,300,830,129970,62617300,38901700,1.71882270022289,0.781420735798336
melodic,3200,21160,399587,62617300,38901700,4.10808979706886,2.03846771728659
memorable,9500,59900,1808000,62617300,38901700,3.91721546265128,1.96982848451777
mental,92600,205500,7722000,62617300,38901700,1.37871684754666,0.463326195368739
mere,28500,56600,4569000,62617300,38901700,1.2338029782196,0.303112033839708
messy,25000,28300,1118000,62617300,38901700,0.703267697585172,-0.507854141770275
metallic,16700,25300,1316000,62617300,38901700,0.94119214304103,-0.0874388177198121
metaphoric,200,580,37800,62617300,38901700,1.80165752914929,0.84932480030014
meticulous,1300,8670,294700,62617300,38901700,4.14333442379957,2.05079227025331
mid,52500,203800,10485000,62617300,38901700,2.41167687645731,1.27003662367226
middle-class,41700,20700,597000,62617300,38901700,0.308395855895066,-1.69714471588541
middle-of-the-pack,200,660,18000,62617300,38901700,2.05016201592851,1.03573792453102
mid-eastern,200,210,35390,62617300,38901700,0.652324277795434,-0.616338772048672
mid-evil,50,40,2100,62617300,38901700,0.497008973558426,-1.00865619482743
mid-range,900,14300,253600,62617300,38901700,9.87115044706317,3.30321823539601
