,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
cordless,3400,11500,1376200,62617300,38901700,2.10132470438305,1.07129910975397
coronal,1800,1900,91600,62617300,38901700,0.6557757290007,-0.608725587938797
corporate,90500,276500,17963900,62617300,38901700,1.89810747498487,0.924561683211432
correct,429600,16161300,12777000,62617300,38901700,23.3714825546141,4.54667734832129
corrupt,202300,36100,1263300,62617300,38901700,0.110862728283855,-3.17315367761118
costly,26800,34000,1937000,62617300,38901700,0.788167215531085,-0.343426354260141
countless,20200,25900,1365600,62617300,38901700,0.796567599948219,-0.328131295005311
courageous,3500,13000,446000,62617300,38901700,2.30754166294983,1.20635669614342
courteous,3700,32100,655000,62617300,38901700,5.38986082811671,2.43024802155328
cozy,2400,33400,825700,62617300,38901700,8.64588526919344,3.11201369181283
cranial,1900,3700,154600,62617300,38901700,1.20982447510933,0.274797752245294
cranky,5600,6800,165600,62617300,38901700,0.754388620579753,-0.406620180747335
crazed,3900,4400,245800,62617300,38901700,0.700910090915728,-0.512698700165021
crazy,82400,140300,5598800,62617300,38901700,1.05780277594428,0.0810706664966108
creative,37900,238500,9583800,62617300,38901700,3.90951979530622,1.96699141278171
credible,6300,19400,851000,62617300,38901700,1.91309009663362,0.935904818747141
creepy,7000,14600,396600,62617300,38901700,1.29577339534875,0.373813441994981
criminal,56500,79100,5045600,62617300,38901700,0.869765703727245,-0.201301272769828
crisp,5300,66500,1224500,62617300,38901700,7.79506998623474,2.96256197588528
critical,94300,295500,11972400,62617300,38901700,1.94679416339495,0.961100354449728
crooked,8100,9100,444970,62617300,38901700,0.697960132620629,-0.518783462625998
crummy,2000,3400,68300,62617300,38901700,1.05614406881165,0.0788066464229072
cubic,3300,11200,1032500,62617300,38901700,2.10852291812665,1.07623270275908
culinary,29400,18600,978100,62617300,38901700,0.393042810722224,-1.3472416336684
cultural,54200,179700,10020000,62617300,38901700,2.05979041855279,1.042497552216
curious,25300,58200,2487000,62617300,38901700,1.42914635677373,0.515153668273904
curly,12100,21300,566500,62617300,38901700,1.09362511743744,0.129118283011174
current,288700,849200,51474000,62617300,38901700,1.82741609086342,0.869805163729326
cursory,1200,2350,154800,62617300,38901700,1.21663654985656,0.282898251016411
curved,4400,17500,872900,62617300,38901700,2.47092529467967,1.30505139325496
customary,4400,12000,676400,62617300,38901700,1.69434877349463,0.760730877031151
cute,93600,250900,3975000,62617300,38901700,1.66532520654125,0.735803935885698
cut-rate,400,520,49650,62617300,38901700,0.807639582032441,-0.30821647668634
dainty,700,3200,140500,62617300,38901700,2.84005127747672,1.50591697800233
damaging,21200,21600,1068000,62617300,38901700,0.632983126701768,-0.659761052339801
damn,91200,361200,2697600,62617300,38901700,2.46052139870207,1.29896406337605
dangerous,106200,99100,5429400,62617300,38901700,0.579726804138889,-0.786554903557735
dark,141900,403700,12078000,62617300,38901700,1.76746408232502,0.821680897479889
darn,10200,84000,514700,62617300,38901700,5.11626884545438,2.35509207575456
dazzling,1600,11400,469500,62617300,38901700,4.42648617075473,2.14616191422467
dead,238000,325200,11233000,62617300,38901700,0.848882973745798,-0.236362416060348
deadly,21000,27300,1783990,62617300,38901700,0.807639582032441,-0.30821647668634
dear,85600,213700,6095500,62617300,38901700,1.55097572502096,0.633176106318594
debilitating,3600,3200,238000,62617300,38901700,0.552232192842695,-0.856653101382382
deceased,5600,12600,1082200,62617300,38901700,1.39783773813307,0.483196901502242
decent,46300,202700,2190800,62617300,38901700,2.71986282236212,1.44353389026659
decent-sized,200,1400,20500,62617300,38901700,4.34882851863622,2.12062682211753
decisive,4800,14600,741970,62617300,38901700,1.8896695348836,0.918133958218791
decorative,2300,38900,2152000,62617300,38901700,10.5074179735993,3.39333628898911
deep,147000,377400,15505500,62617300,38901700,1.59499308351148,0.673550167936649
defective,21300,20800,997700,62617300,38901700,0.606677620306059,-0.720998002024816
defensive,21800,68900,1671500,62617300,38901700,1.96352742420731,0.973447747987295
